State,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023
New Jersey,$205.20,$228.50,$268.60,$295.30,$322.00,$322.10,$337.50,$540.20,$596.40,$728.70,$783.60
New Mexico,$49.60,$55.10,$62.80,$69.80,$77.20,$76.50,$79.80,$118.10,$138.40,$165.70,$174.10
New York,$729.50,$811.70,$937.00,"$1,081.00","$1,216.70","$1,205.80","$1,238.70","$1,448.60","$2,032.20","$2,443.70","$2,618.70"
North Carolina,$240.80,$270.20,$308.70,$346.20,$381.50,$381.80,$402.00,$663.10,$722.90,$881.30,$939.50
North Dakota,$16.80,$19.10,$21.70,$24.00,$27.00,$26.90,$28.50,$40.00,$44.70,$53.80,$56.00
Ohio,$427.20,$468.90,$538.30,$598.10,$650.10,$646.90,$675.90,"$1,029.50","$1,155.80","$1,388.20","$1,476.60"
Oklahoma,$88.00,$94.40,$109.10,$118.40,$130.40,$130.00,$136.70,$205.50,$233.70,$288.90,$300.90
Oregon,$195.80,$216.30,$244.20,$268.20,$294.70,$294.50,$303.50,$409.30,$458.80,$536.00,$557.20
Pennsylvania,$445.00,$496.90,$568.60,$636.50,$691.30,$694.30,$715.70,"$1,147.80","$1,208.90","$1,443.80","$1,533.50"
Puerto Rico,$21.10,$23.20,$26.30,$30.40,$30.40,$30.40,$30.40,$30.40,$30.40,$30.40,$30.40
Rhode Island,$34.10,$37.60,$43.10,$48.20,$51.20,$52.00,$52.30,$59.10,$81.70,$98.40,$106.20
South Carolina,$188.80,$206.80,$238.70,$270.50,$293.50,$294.50,$308.50,$523.40,$551.70,$679.00,$731.80
South Dakota,$31.80,$35.20,$40.40,$44.40,$48.60,$48.60,$50.10,$66.40,$76.40,$93.00,$97.60
Tennessee,$166.10,$181.20,$207.70,$232.10,$253.10,$252.30,$263.80,$422.60,$493.20,$612.80,$647.20
Texas,$501.40,$553.10,$634.60,$719.00,$799.50,$797.60,$838.00,"$1,365.60","$1,617.10","$1,996.50","$2,095.80"
Utah,$73.60,$80.70,$90.60,$100.90,$108.50,$107.80,$110.50,$150.90,$166.00,$194.50,$200.40
Vermont,$37.60,$40.00,$44.30,$51.30,$55.80,$55.20,$57.30,$66.30,$87.70,$108.20,$115.90
Virginia,$337.70,$372.00,$419.10,$464.20,$506.20,$506.90,$524.90,$794.70,$867.40,"$1,048.70","$1,114.10"
Washington,$246.30,$271.60,$309.60,$338.80,$371.30,$370.10,$383.60,$515.50,$579.70,$685.90,$717.60
West Virginia,$49.30,$53.80,$60.40,$66.50,$74.10,$74.50,$79.20,$124.50,$128.70,$154.80,$167.10
Wisconsin,$185.30,$205.10,$232.80,$254.30,$277.60,$276.40,$285.50,$405.30,$452.30,$535.80,$574.60
Wyoming,$11.30,$12.20,$14.40,$17.20,$19.10,$19.20,$20.00,$26.40,$30.40,$37.80,$39.80
All Other Locations,$37.70,$41.40,$43.60,$46.80,$85.40,$202.70,$179.80,$258.80,$293.10,$341.50,$416.80
